Product Name,Category,Price,Picture,Description,Link,,,,
Onyx + Green - Bamboo Pencil Sharpener,School,$12,https://ecotique.ca/cdn/shop/products/image_f2b0d1d5-0b4f-48f7-8acd-dd572855d4c9_1024x1024@2x.jpg?v=1659991342,Onyx + Green's Bamboo Pencil Sharpener is an eco-friendly sharpener made from sustainable bamboo materials.,https://www.amazon.ca/Onyx-Blue-Double-Sharpener-Bamboo/dp/B00PX8NBMS,,,,
Patagonia Responsibili-Tee,Apparel,$30 - $50,https://www.patagonia.ca/dw/image/v2/BDJB_PRD/on/demandware.static/-/Sites-patagonia-master/default/dw77f0986e/images/hi-res/38504_NUVG.jpg?sw=512&sh=512&sfrm=png&q=95&bgcolor=f5f5f5,"Made from 100% recycled materials, this t-shirt is part of Patagonia's commitment to sustainable production.",https://www.patagonia.ca/product/mens-p-6-logo-responsibili-tee/38504.html,,,,
Quince - Cashmere Apparel,Apparel,$80,https://www.quince.com/men/cashmere/cashmere-crewneck-sweater?color=charcoal,Quince's 100% Cashmere Crewneck Sweater for men offers luxurious comfort and timeless style with its premium cashmere fabric and classic design.,https://www.quince.com/men/the_59_cashmere,,,,
RYOBI - Cordless Lawn Mower Kit,Garden & Tools,$500,https://images.homedepot.ca/productimages/p_1001587357.jpg?product-images=xs,"Elevate your lawn care with the RYOBI 18V ONE+ HP Brushless Cordless 16-Inch Walk-Behind Push Lawn Mower Kit, equipped with 2 powerful 4.0 Ah batteries and a charger for efficient and eco-friendly mowing.",https://www.homedepot.ca/product/ryobi-18v-one-hp-brushless-cordless-16-inch-walk-behind-push-lawn-mower-kit-with-2-4-0-ah-batteries-and-charger/1001587357,,,,
S'well Stainless Steel Water Bottle,Food & Beverage,$34 - $62,https://www.swell.com/cdn/shop/files/Alt_1.png?v=1684144894,"S'well offers a stylish and sustainable option for staying hydrated with their insulated stainless steel water bottles, helping to reduce the use of single-use plastic bottles.",https://www.swell.com/collections/original-bottles,,,,
Silpat - Non-Stick Silicone Baking Mat,Food & Beverage,$35,https://m.media-amazon.com/images/I/71F8cGXjnrL._AC_SL1500_.jpg,Silpat's Non Stick Baking Mat is a versatile kitchen tool that provides a reliable and convenient surface for baking without the need for greasing or parchment paper.,https://www.amazon.ca/Silpat-AE420295-07-Premium-Non-Stick-Silicone/dp/B00008T960?th=1,,,,
Tata Harper - Regenerative Cleanser,Health & Beauty,$58,https://tataharperskincare.com/cdn/shop/products/regenerating-cleanser-main.jpg?v=1681229324&width=1000,"Daily cleansing & exfoliating treatment that buffs and polishes for radiant, healthy looking skin. Best for dull, uneven, or congested skin.",https://tataharperskincare.com/collections/shop-all/products/regenerating-cleanser,,,,
The Green Way - Redecker Gardening Tools Set,Garden & Tools,$60,https://thegreenway.ca/cdn/shop/products/207023_20216_500x.png?v=1647470132,"Green Way's Redecker Gardening Tools are a collection of high-quality, eco-friendly implements designed to facilitate efficient and sustainable gardening practices.",https://thegreenway.ca/products/gardening-tools,,,,
U Konserve - Insulated Lunch Tote Bag,Food & Beverage,$35,https://www.cnet.com/a/img/resize/4f3fd2afc55c6b47804f6ea340076720f1b2db15/hub/2023/03/07/65d227e1-2eb9-420d-be7a-8e5f2a2281a5/u-konserve-lunch-tote.png?auto=webp&fit=crop&height=360&width=640,U Konserve's Insulated Lunch Tote Bag is a durable and eco-friendly lunch bag designed to keep your food and drinks fresh while on the go.,https://ukonserve.com/collections/insulated-lunch-totes,,,,
Watson Gloves - Biodegradable Gloves,Garden & Tools,$10,https://images.homedepot.ca/productimages/p_1001627751.jpg?product-images=xs,15gg landfill biodegradable ZeroWaste™ nylon seamless knit degrades in 5 years in anaerobic landfill conditions (ASTM D5511),https://www.homedepot.ca/product/watson-gloves-jade-landfill-biodegradable-zerowaste-seamless-knit-women-s-garden-glove-large/1001627751,,,,
Wild Natural Deodorant,Health & Beauty,$15 - $25,https://awomansconfidence.com/wp-content/uploads/2023/01/Wild-Natural-Deodorant.png,"A natural, refillable deodorant that comes in a variety of scents.",https://wearewild.com/get-started/deodorant?bid=deodorant-1693075252-490,,,,
Yardworks - Electric Corded Grass Trimmer,Garden & Tools,$100,https://media-www.canadiantire.ca/product/seasonal-gardening/outdoor-tools/hand-held-outdoor-power-tools/0602365/yardworks-5a-14-grass-trimmer-17bfad90-3e3e-45f6-8911-3ff9877a03b5.png?imdensity=1&imwidth=1244,"The Yardworks 5A Electric Corded String Grass Trimmer and Edger is a versatile outdoor tool designed to easily trim and edge your lawn, providing precise and efficient lawn maintenance.",https://www.canadiantire.ca/en/pdp/yardworks-5a-electric-corded-string-grass-trimmer-edger-14-in-0602365p.0602365.html?loc=plp,,,,
